Model,Dual-Site Langmuir
Sorptive,CO2
Pressure_Units,bar
Uptake_Units,mmol/g
TemperatureK,298.15
Sorptive_MW,44.01
Host_Formula,MOF-X
Parameter,Value,Std Error
q1,4.000000,0.000000
K1,2.485826,0.000000
q2,5.000000,0.000000
K2,0.398541,0.000000
R2,0.999999,
SSR,0.000001,
Pressure,Uptake,Fitted,Residual
0.00100000,0.01191056,0.01191056,0.00000000
0.00143845,0.01711674,0.01711674,0.00000000
0.00206914,0.02458857,0.02458857,0.00000000
0.00297635,0.03530137,0.03530137,0.00000000
0.00428133,0.05063919,0.05063919,0.00000000
0.00615848,0.07255432,0.07255432,0.00000000
0.00885867,0.10377709,0.10377709,0.00000000
0.01274275,0.14807893,0.14807893,0.00000000
0.01832981,0.21057714,0.21057714,0.00000000
0.02636651,0.29803813,0.29803813,0.00000000
0.03792690,0.41907904,0.41907904,0.00000000
0.05455595,0.58408480,0.58408480,0.00000000
0.07847600,0.80457400,0.80457400,0.00000000
0.11288379,1.09174682,1.09174682,0.00000000
0.16237767,1.45417544,1.45417544,0.00000000
0.23357215,1.89514981,1.89514981,0.00000000
0.33598183,2.41084138,2.41084138,0.00000000
0.48329302,2.99048118,2.99048118,0.00000000
0.69519280,3.61855833,3.61855833,0.00000000
1.00000000,4.27734040,4.27734040,0.00000000
