Model,Dual-Site Langmuir
Sorptive,CO2
Pressure_Units,bar
Uptake_Units,mmol/g
TemperatureK,273.15
Sorptive_MW,44.01
Host_Formula,MOF-X
Parameter,Value,Std Error
q1,4.000000,0.000000
K1,6.989729,0.000000
q2,5.000000,0.000000
K2,0.774656,0.000000
R2,0.999999,
SSR,0.000001,
Pressure,Uptake,Fitted,Residual
0.00100000,0.03163513,0.03163513,0.00000000
0.00143845,0.04538248,0.04538248,0.00000000
0.00206914,0.06502763,0.06502763,0.00000000
0.00297635,0.09302136,0.09302136,0.00000000
0.00428133,0.13275137,0.13275137,0.00000000
0.00615848,0.18881876,0.18881876,0.00000000
0.00885867,0.26731504,0.26731504,0.00000000
0.01274275,0.37600979,0.37600979,0.00000000
0.01832981,0.52428160,0.52428160,0.00000000
0.02636651,0.72254316,0.72254316,0.00000000
0.03792690,0.98090019,0.98090019,0.00000000
0.05455595,1.30698495,1.30698495,0.00000000
0.07847600,1.70343845,1.70343845,0.00000000
0.11288379,2.16621881,2.16621881,0.00000000
0.16237767,2.68510437,2.68510437,0.00000000
0.23357215,3.24667057,3.24667057,0.00000000
0.33598183,3.83800449,3.83800449,0.00000000
0.48329302,4.44837019,4.44837019,0.00000000
0.69519280,5.06746950,5.06746950,0.00000000
1.00000000,5.68190951,5.68190951,0.00000000
