Model,Dual-Site Langmuir
Sorptive,CO2
Pressure_Units,bar
Uptake_Units,mmol/g
TemperatureK,313.15
Sorptive_MW,44.01
Host_Formula,MOF-X
Parameter,Value,Std Error
q1,4.000000,0.000000
K1,1.447064,0.000000
q2,5.000000,0.000000
K2,0.281457,0.000000
R2,0.999999,
SSR,0.000001,
Pressure,Uptake,Fitted,Residual
0.00100000,0.00718678,0.00718678,0.00000000
0.00143845,0.01033231,0.01033231,0.00000000
0.00206914,0.01485112,0.01485112,0.00000000
0.00297635,0.02133907,0.02133907,0.00000000
0.00428133,0.03064667,0.03064667,0.00000000
0.00615848,0.04398375,0.04398375,0.00000000
0.00885867,0.06306291,0.06306291,0.00000000
0.01274275,0.09029145,0.09029145,0.00000000
0.01832981,0.12901903,0.12901903,0.00000000
0.02636651,0.18383906,0.18383906,0.00000000
0.03792690,0.26091928,0.26091928,0.00000000
0.05455595,0.36829277,0.36829277,0.00000000
0.07847600,0.51596781,0.51596781,0.00000000
0.11288379,0.71562191,0.71562191,0.00000000
0.16237767,0.97958190,0.97958190,0.00000000
0.23357215,1.31887618,1.31887618,0.00000000
0.33598183,1.74052206,1.74052206,0.00000000
0.48329302,2.24486027,2.24486027,0.00000000
0.69519280,2.82420401,2.82420401,0.00000000
1.00000000,3.46357962,3.46357962,0.00000000
