Model,Dual-Site Langmuir
Sorptive,CO2
Pressure_Units,bar
Uptake_Units,mmol/g
TemperatureK,323.15
Sorptive_MW,44.01
Host_Formula,MOF-X
Parameter,Value,Std Error
q1,4.000000,0.000000
K1,1.037413,0.000000
q2,5.000000,0.000000
K2,0.227246,0.000000
R2,0.999999,
SSR,0.000001,
Pressure,Uptake,Fitted,Residual
0.00100000,0.00528132,0.00528132,0.00000000
0.00143845,0.00759405,0.00759405,0.00000000
0.00206914,0.01091773,0.01091773,0.00000000
0.00297635,0.01569234,0.01569234,0.00000000
0.00428133,0.02254734,0.02254734,0.00000000
0.00615848,0.03238100,0.03238100,0.00000000
0.00885867,0.04647091,0.04647091,0.00000000
0.01274275,0.06662499,0.06662499,0.00000000
0.01832981,0.09538345,0.09538345,0.00000000
0.02636651,0.13627880,0.13627880,0.00000000
0.03792690,0.19415098,0.19415098,0.00000000
0.05455595,0.27549071,0.27549071,0.00000000
0.07847600,0.38873689,0.38873689,0.00000000
0.11288379,0.54437691,0.54437691,0.00000000
0.16237767,0.75460223,0.75460223,0.00000000
0.23357215,1.03220912,1.03220912,0.00000000
0.33598183,1.38852880,1.38852880,0.00000000
0.48329302,1.83056581,1.83056581,0.00000000
0.69519280,2.35817836,2.35817836,0.00000000
1.00000000,2.96256348,2.96256348,0.00000000
